,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
"Nacelle position, Minimum (°)",0.013625973697830864,0.00487306424366517,-0.018831751201131494,0.006458898029117181,0.0013878529250626274,0.3609930847785871,0.046035891977114524,0.09276697314195101,0.01947167696354861,-0.041514992307790696,-0.005161943062228752,0.0007715167338694373,0.00891097856766232,-0.01647678426974163,-0.0072413991169748,-0.001131676961607344,0.008764885280398201,-0.016840219575379137,0.0033734772371348115,-0.00039179944598738414,-0.020629486031902372,0.025793004530910688,-0.008524017548613795,-0.00483694944589369,-0.01344310234186269,-0.001740543009088569,-0.0010522603843785556,-0.007945977253880049,-0.0036081510715377657,-0.039538847641380964,-0.05145244309681657,-0.003860098912747398,-0.006743931007131224,0.02422043541140801,-0.007805229605397895,0.0039736018624860585,-0.01934320009522837
"Nacelle position, Maximum (°)",0.013884095315307193,0.00963970154162783,-0.018187115342492708,0.006137887436596633,0.00016049531776364225,0.362749402648099,0.04261788976628924,0.09512861981506887,0.011516952579659432,-0.04512735444807048,0.008553580925378494,-0.0014447373017806298,0.014973440076791078,-0.008212921311396377,-0.0033374096450842633,0.0003310511071981182,0.018429638833067474,-0.015252296165920894,-0.0070868348923847635,0.019964801994984238,-0.026362383967605374,0.009846412707922768,-0.00981010925192874,0.003056860973768352,0.02914479651674326,0.004160387373114724,0.009477201703287341,-0.0004191661892480672,-0.013813615299368094,0.026946282040907835,0.036224728532606054,-0.010702523265694736,0.0012913020833837455,0.02911025465020755,-0.017297711607231307,0.00214133682646384,-0.020654109921139738
Vane position 1+2 (°),0.0003403377834990803,0.012850231127986746,-0.01320003895655239,0.0015342539354871723,-0.032644736252816324,0.0024957085458306907,-0.0666192979953251,-0.035155409778232144,0.04115020308251132,0.015625101727786285,-0.1796035449121203,0.05399147979654784,-0.07772756007884316,0.30470485455932,0.16931705037393924,0.09040755784798844,0.26105261622953535,0.045326338323525006,-0.10743690136567725,0.21396087728294208,-0.07270408236935932,-0.23891949011690009,-0.03091105999562134,0.2480040720167121,-0.19592885482654748,0.01576817905113723,-0.05299005507787615,-0.03547629181006869,0.02207035939711248,-0.03632937356596269,-0.06025075531336315,0.029285304432045495,-0.03932649564907845,0.006460246287927157,-0.017938811686044942,-0.03208121188085059,-0.037017910171449904
Energy Export (kWh),0.1265813315241144,0.008982742649983942,0.012548029063508432,-0.0006453510376915818,0.03777857786377273,-0.0018621994015549505,0.029265266657795126,-0.019711845209571782,-0.005990447360679544,0.014734376927208637,-0.023938732282201267,0.002570035645841226,0.01790916768780698,0.017068397968952514,0.006374279125475835,0.003443661839133638,0.027535052633617066,0.021406585454651045,-0.020746289391657458,0.014938100130096721,-0.0010793270201772398,0.0043639541811185956,0.0021303947987620364,-0.04593116491017464,0.019933068314001972,-0.0020896206755210028,0.0025652574046386256,-0.009140903105765506,0.009478878759639611,0.004262184383667586,-0.01912321956275409,-0.012420124167489499,0.016714451234868026,-0.01998679677224375,-0.006768452968739069,-0.015129040814096656,-0.008211997319727896
Energy Export counter (kWh),0.0023721844163159134,0.03860600676104981,0.0064389136497040875,-0.0007890164555894732,-0.03440975065556291,-0.10901056626292684,-0.0015996260472702667,0.24191592998014394,0.16851133396061355,-0.1724721805358122,-0.09776270042076532,-0.00251297880940057,-0.010667668548969708,-0.17776891885099239,-0.11927275658048786,-0.051751454592949414,0.1374158630879435,-0.03430290336365165,-0.2062112023864957,0.0004836097179181653,-0.05582582566629113,-0.01465968146439708,0.0062450950319570125,-0.011972180144238453,0.038329120440352304,-0.007299108964591755,0.002173400312555055,-0.05507006905827966,-0.04979610276424369,0.04144015003951511,-0.04602768650215193,0.0597994555279939,0.0018404896393170792,0.02619655256173764,-0.0001375360170106782,-0.14573105906288633,-0.07150002008193787
Energy Import (kWh),-0.041378459265089595,0.0430822331902639,0.07676929788360679,0.010077348857619026,0.017255335420881153,-0.004005161210293966,0.012872430549939381,0.05577476057191141,-0.1193659807694997,0.008535801566732662,-0.017138196334561987,-0.020961739344359943,0.03247698089648357,0.05470744388113763,-0.004274493685578362,0.029719183785676534,0.03275527628681374,0.10592747358196414,-0.0576308015308398,0.06497469145649237,-0.032039576018336666,-0.0044842181337858555,-0.035021934302993274,0.11395462706032955,0.3750409930026034,0.006742452222004491,0.052582902724659514,0.1498146837906404,0.08684614268380071,0.10437636583689461,-0.32264610417739853,-0.1943040560361168,-0.16638412807038805,-0.0654521504683464,0.3324980830953346,-0.04732381085403382,0.1696159476344734
Energy Import counter (kWh),-3.4325894457763086e-05,0.001076385763105523,0.0011926509266410497,-0.004578581708709444,-0.0006215892667201372,0.0020222827721944406,0.0023894030997341537,0.013257567678468677,0.0058376963364952465,-0.008078966816299616,-0.011673648720225234,0.008095426327458152,0.019633736724395393,-0.05311790796678595,0.03136431036581595,-0.019102673862235534,0.04983034167565985,-0.012229083564275656,-0.10146653652186835,-0.06812255153466693,-0.09587727687241376,0.012508115627751976,-0.04218081476946425,-0.15340741518895157,-0.3326395443430285,-0.1486898312118034,-0.22354413733589984,0.8009144482117838,0.047170449454745744,0.2624017851114428,-0.03829714848366263,-0.12413359311447339,0.04624642424715415,0.02163461536382309,0.07195178151978107,-0.03052868418816983,-0.08189372270866219
Lost Production (Time-based IEC B.2.2) (kWh),-0.00244582504701888,0.006658975945334626,0.023766954420748006,0.2909764617402508,0.0037638304974460073,-0.002416982753190244,-0.002806572822085116,0.002390037864621796,-0.006642722415512801,0.009197187027255504,-0.03428441327473561,-0.18397404313228471,-0.020754999402753993,-0.034849972047577615,0.08135728258642463,-0.014529223269271592,0.006868278443814588,8.000227275040128e-06,0.003988772386276901,-0.0033600684039428452,0.0037098121574765802,0.0009175502571022939,-0.0017406521899727134,-0.0011779920203398575,-0.0033428070675579624,-0.00016630741981919252,-0.0005939842289548287,-0.0044636843886208255,-0.00502927757631598,-0.001450785483911865,0.005770271476332828,0.004606031787523682,0.006339946250130568,0.002821963162932095,-0.006175368657901283,-7.714315853739936e-05,-0.003488124235699913
Lost Production (Time-based IEC B.2.3) (kWh),-0.00244582504701888,0.006658975945334625,0.02376695442074801,0.2909764617402508,0.0037638304974460155,-0.0024169827531902535,-0.002806572822085119,0.0023900378646218067,-0.006642722415512838,0.009197187027255489,-0.0342844132747356,-0.1839740431322848,-0.02075499940275402,-0.03484997204757756,0.0813572825864247,-0.014529223269271863,0.00686827844381457,8.000227274915228e-06,0.003988772386276956,-0.0033600684039430395,0.003709812157476469,0.0009175502571020927,-0.0017406521899726024,-0.0011779920203398575,-0.003342807067558018,-0.00016630741981921507,-0.0005939842289549662,-0.004463684388620777,-0.005029277576315853,-0.0014507854839117575,0.005770271476332675,0.0046060317875238205,0.006339946250130325,0.002821963162932324,-0.006175368657901165,-7.714315853705003e-05,-0.0034881242357004912
Lost Production (Time-based IEC B.2.4) (kWh),-0.00244582504701888,0.006658975945334625,0.023766954420748013,0.2909764617402509,0.003763830497446012,-0.002416982753190241,-0.0028065728220851125,0.0023900378646218,-0.006642722415512846,0.00919718702725549,-0.03428441327473561,-0.18397404313228471,-0.020754999402754017,-0.034849972047578004,0.08135728258642475,-0.014529223269271759,0.006868278443814574,8.000227275040128e-06,0.00398877238627697,-0.003360068403942887,0.003709812157476469,0.0009175502571022384,-0.0017406521899723248,-0.0011779920203397187,-0.0033428070675581983,-0.0001663074198192012,-0.0005939842289549371,-0.0044636843886207145,-0.005029277576315869,-0.0014507854839119205,0.0057702714763327966,0.004606031787523696,0.0063399462501301795,0.002821963162932515,-0.006175368657901359,-7.7143158537199e-05,-0.0034881242356999756
