,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38
"Rotor speed, Min (RPM)",0.12204615900226379,-0.04563829344577384,0.013661535108317548,0.05520414627232046,0.006542347808813248,0.019108088372210227,-0.06975452840009114,-0.007991777012961911,-0.02163292159581956,0.03042859128881231,-0.04129633828373657,0.023748401801319752,-0.023369208677193297,0.008494438760324345,0.04782679533312482,0.054783562824773424,0.008173550217622123,0.02591110026687574,-0.048764556683148934,0.044005543369753125,0.029193438104227552,-0.04381050640396775,-0.008574161879889405,0.007121306031117165,-0.027380673292194804,0.0038303685390169567,-0.0029272844539821596,-0.02084806366083898,-0.0002587672092310613,-0.0357591249838206,-0.0013649560376430888,0.004727697126232163,0.04554608925474027,-0.02798482911375774,0.010310903352133628,0.002379607678216017,0.030226920315942065,-0.024182085229371413
"Rotor speed, Standard deviation (RPM)",0.016658373250848447,0.04167832120789045,0.11606786229452683,-0.16459412444145263,-0.009201858629366651,-0.08461805125174267,0.1973650816480511,0.00035667583052288005,0.06621111859493714,-0.1158640335436099,0.10058302907419385,0.02996326833502203,0.015812239221290426,-0.017809776796080198,-0.06530392930960965,-0.02543833239226787,-0.007171076269060151,-0.09413679523290014,0.05965938922839864,-0.03004689434146041,0.007011126185851771,-0.019436414551038533,-0.03203917123937791,0.03148979451853814,-0.01165118312199119,0.0041319517057289605,0.011238539744203125,0.00908608705762922,-0.013379039483924514,-0.009614817558860414,-0.015397151947368033,0.009503572801380436,-0.04667459668627538,0.003264526117348978,-0.06902308424121487,0.03668383581990098,0.017960252987503103,0.13672535234894273
Capacity factor,0.12840020783802586,-0.0020851825712947802,-0.0009701463931125223,0.027359718227435076,0.0021518573438484624,0.004718716844998207,-0.018040552404120478,-0.021265358869617095,-0.0017422030811175733,0.01885308469063601,-0.018237477453293727,0.01013966407462044,-0.008002943506958902,0.007097374740329393,0.03093301263132228,0.007018633863349872,-0.0004203802974188332,-0.021840066489307763,0.004338773465580996,0.0016243491100955537,0.01289899973762252,0.0006044429165108882,-0.005857249083483463,0.027426723452352406,-0.0214958345100692,0.007186956760569041,0.0007242434143159681,-0.011304176660995636,0.011421401665737069,0.010133220655928008,0.018104736807449392,-0.0001556465775812907,-0.01634479444796335,0.01679498334336843,-0.010611058870343335,-0.005834846899260383,0.0035289131977151375,-0.004349989372671213
Time-based IEC B.2.2 (Users View),0.001367125840574264,-0.010011661555583293,0.006600568794941324,0.010844992445677345,-0.2901098686529851,0.018773961766731184,0.0013986155481284096,-0.0007188763866436748,0.0032023820245253303,-0.0011857952601976268,0.0013392123982106997,-0.0012727310785516901,0.00200262010540482,-0.00489970155966783,0.002252099706982451,-0.01845156415503028,0.12706310341754934,-0.004172356002454997,-0.0010046198172212403,-0.0006133792242094677,0.0076781976928931945,0.004590181602828457,0.0033597840550720903,-0.009716681458016511,0.0055240671005564145,-0.0024535816764208324,-0.0004613485059976521,0.004432407676141097,-0.06932547259955968,0.03219785079653644,0.08811544334444057,0.4609486243167649,0.006722376890254331,0.0331164306639301,0.06389752742646806,-0.014557588975344957,0.0021715261150841046,0.006961414906949173
Time-based IEC B.2.3 (Users View),0.0013671258405742633,-0.010011661555583291,0.006600568794941324,0.010844992445677349,-0.29010986865298505,0.018773961766731184,0.001398615548128415,-0.0007188763866436792,0.0032023820245253203,-0.0011857952601976396,0.001339212398210681,-0.0012727310785516886,0.0020026201054048273,-0.004899701559667838,0.002252099706982443,-0.018451564155030263,0.1270631034175493,-0.004172356002455006,-0.0010046198172212507,-0.0006133792242094451,0.007678197692893224,0.00459018160282848,0.0033597840550720973,-0.009716681458016484,0.005524067100556432,-0.0024535816764207977,-0.00046134850599767636,0.0044324076761411285,-0.06932547259955969,0.03219785079653647,0.08811544334444046,0.4609486243167647,0.006722376890254414,0.0331164306639301,0.063897527426468,-0.014557588975345034,0.002171526115084024,0.006961414906949079
Time-based IEC B.2.4 (Users View),0.0013671258405742633,-0.01001166155558329,0.006600568794941325,0.01084499244567734,-0.29010986865298505,0.018773961766731184,0.001398615548128419,-0.0007188763866436841,0.0032023820245253238,-0.0011857952601976394,0.0013392123982106801,-0.0012727310785516953,0.0020026201054047688,-0.004899701559667851,0.002252099706982464,-0.018451564155030253,0.12706310341754942,-0.004172356002454993,-0.001004619817221282,-0.0006133792242094538,0.007678197692893227,0.004590181602828434,0.0033597840550721875,-0.009716681458016458,0.005524067100556435,-0.0024535816764208324,-0.00046134850599766075,0.00443240767614108,-0.06932547259955969,0.03219785079653642,0.08811544334444038,0.46094862431676487,0.006722376890254386,0.0331164306639301,0.06389752742646804,-0.014557588975344954,0.0021715261150839172,0.00696141490694898
Production-based IEC B.2.2 (Users View),0.0011552726357073513,-0.008687781234952723,0.007774503232789324,0.011814665304023163,-0.3248836860939096,0.021442069298634143,0.002952308157747136,-0.0028612445165118873,0.0022005374467943986,-0.0010508498918748864,0.000722480494853228,-0.0009864013291134492,-0.0010361258116962943,0.007104794484774675,0.0013874059736964897,0.01110023098689071,-0.05951534707390091,0.0026674774417376687,-0.0018807426525699038,0.005011580058158268,-0.0020966164859567045,-0.005269862637908833,-0.0032693121943222873,0.007816850822383275,-0.0026906231691463233,0.0007965616033712012,0.00027464156504251533,-0.0017336117972283833,0.027147200764220017,-0.015569428132835239,-0.03284446779932787,-0.1727771996747941,-0.00026225041352050723,-0.01145120886396449,-0.023764422109747288,0.005137532908842183,-0.0005966200680048517,-0.0029444760517574916
Production-based IEC B.2.3 (Users View),0.0011552726357073515,-0.00868778123495272,0.007774503232789322,0.01181466530402316,-0.3248836860939096,0.021442069298634143,0.0029523081577471576,-0.002861244516511899,0.0022005374467944107,-0.0010508498918749285,0.0007224804948532385,-0.0009864013291134319,-0.0010361258116962104,0.0071047944847746625,0.0013874059736964585,0.011100230986890613,-0.059515347073900875,0.002667477441737719,-0.001880742652569857,0.005011580058158311,-0.002096616485956746,-0.005269862637908807,-0.0032693121943224365,0.007816850822383243,-0.0026906231691463667,0.000796561603371158,0.0002746415650424964,-0.0017336117972283893,0.027147200764220086,-0.015569428132835473,-0.03284446779932772,-0.17277719967479416,-0.0002622504135205749,-0.011451208863964609,-0.023764422109747274,0.005137532908842188,-0.0005966200680048066,-0.002944476051757274
Time-based System Avail.,-0.00048107532238919284,-0.0006169509068166181,-0.0005364823027695277,0.0014031162246552736,-0.018786189707883528,0.005850288007436439,0.003796080522555591,0.0036815623932256055,-0.004756814514715874,0.003114582041639168,-0.0009043725436783947,-0.0021473861762168187,0.00791301577471119,-0.01467278415925356,0.01518150996333815,-0.08155002141179724,0.6741055678190322,-0.020299472359051482,0.007147544536268674,0.0015820581878399076,0.004608338611608044,-0.0018418423025728173,-0.008761321577402125,0.006997473185344813,-0.0019632870257265365,0.0004902251954148756,0.001421681832882011,-0.0014295255720278462,0.030346703181361637,-0.0151337095578319,-0.03781146801557435,-0.18334875725720187,-0.0033635150832745336,-0.007017900161205869,-0.03192373740732286,0.0038377900511162126,0.00044555586867430635,-0.0005653305464467778
Reactive Energy Export (kvarh),-0.01977363386820679,0.03890197084111957,-0.01611834352136283,0.009788906087050036,0.0023508600666499605,-0.004845607488240188,-0.03241637432810035,0.02799551515692308,0.005516599947802144,-0.03949640100921214,-0.0485067130582955,-0.016136544061570605,-0.0016991887580219932,0.0069593448598033545,-0.005011269013999075,0.09843299532379568,0.0063554333206659475,-0.0377559977637427,0.06820125630293777,0.05831749991758163,0.18715927880075986,-0.16368901436790662,-0.17270911618704088,0.35634114940457623,0.4913997303262386,-0.06764414133756419,0.05301850623599094,0.27189079638055424,-0.007412776938004425,0.11005268276650255,-0.26083639346031706,-0.007457069199113035,-0.029143949585830692,0.24626424841651784,0.29938498052923446,0.09877829704978415,-0.07699896943747617,0.04603899053759557
Reactive Energy Export counter (kvarh),-0.0008068034495001277,0.0048723512336588904,-0.0036387599577697017,-3.531223986283546e-05,-0.00019520299853064335,0.0038641337677280726,0.0026682387803951694,0.004873650875386196,-0.003193073411760199,0.0036583164147678737,0.011357109751816426,-0.0003554336029332725,-0.005885441650708657,-0.0035530338965222468,0.0009306502221973729,0.03112041538481164,0.0036176811211634744,-0.001586244147818825,-0.029527231679728934,0.014447310856576148,0.05226137063110927,-0.047715065199813916,0.010545618390379092,-0.10305794578136726,-0.20958703331909057,0.012487035480700973,0.8694975503065002,0.3815094145459349,0.036527435910920086,0.10848405032757732,0.08973849121525797,-0.027520615318414314,0.03654033738695055,-0.07384549373014777,0.056229549319335805,-0.029910673089690625,-0.003263738824310688,0.012329570991890453
Reactive Energy Import (kvarh),0.12348469105092248,0.012101630505565343,-0.008552427599918836,-0.012790764471808424,-0.002103550739081046,-0.02277634435041565,-0.0016776399430891214,-0.025791478047514495,0.008412896981022206,0.026026272508231543,-0.03341768454870224,0.01719251608877456,0.016105832018129474,0.02409408284767767,0.04489282380555256,-0.04562535904586377,-0.005913840087157152,0.008163226244632442,-0.029982351687480098,0.015297639144903449,0.024720806879697705,-0.021890614059298773,-0.0047845891174393175,-0.0629169397756001,0.00598979063960616,-0.0005482946325919974,-0.0052716879039123,-0.011136418346766066,0.00846105282667596,0.058517523097550705,0.011209821859920295,-0.012221800734844026,-0.06331947562931313,0.10833750971161063,-0.0127557000685635,0.020290741439540246,-0.0931249761495894,-0.06558020511087756
