,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40
"Nacelle position, Minimum (°)",0.011821411918223954,-0.00938239650112023,0.0012927743268287225,-0.001714272803547033,0.08688972725532017,-0.050896395160931605,0.3433035231849817,0.12053663964440005,0.036858023720722735,-0.03837367600554484,0.007701142088327603,0.0021328170450650163,0.0008602685992120176,0.005573351280177025,0.013709633245054137,0.02743558898517458,-0.02719762276641574,0.00018971425797209562,0.0033092768639835513,0.0014246286660783009,-0.03749081573694035,0.015042526441962162,-0.013341731315222108,-0.011026832056640484,-0.00723407048223438,0.00697944516703887,0.011634626958046318,0.0034519224328886378,-0.006998014898670057,-0.04312302983474579,0.004990886324508739,-0.0188441778231722,-0.02830675286246677,0.002333130132249211,-0.03350181877321106,0.011817324297788603,-0.002217364084688783,-0.0050963804481356095,-0.017261572760439246,-0.018287379937407595
"Nacelle position, Maximum (°)",0.012532546706885559,-0.005492602345271676,0.006010155958319386,-0.0016377685457686503,0.08271814580775919,-0.04735611181219244,0.3483210099790973,0.12084983058156139,0.03283892954854514,-0.04190050034465788,-0.0028279784711561437,0.002640523493691843,0.0009214653473435114,0.007922364513993363,0.014259717569422237,0.028316208089736478,-0.022048444209062434,0.003915842648376841,0.014168478883523072,0.005463740442858245,-0.02487336365030343,0.011543408590601947,-0.01596822914906995,-0.008028022017065685,0.0061787151348216135,-0.007549874977714741,0.0009341124703363818,-0.013577718741087624,0.0007883993358004655,0.038144108273134865,-0.006781428660155022,0.0006583681420651924,0.03151500543923455,-0.014282097763006207,-0.021346478422811677,0.0018215660091234695,0.007413834473416182,0.0002750516681751724,-0.025561044403722397,-0.011357109652758272
Vane position 1+2 (°),0.0011765315619172655,0.0052666548640638335,0.016724747616958306,0.0010514352761911141,-0.03490330804839016,0.05439586131861549,0.026642749569718318,0.00792581540756338,0.07491380825165768,0.03746000078079002,0.14679019017154687,0.02148273465983057,0.09052113254998936,0.0388844837158919,-0.04927008146427836,-0.22580404946806149,0.31713156944307924,0.13256867398876268,0.2967416142002285,0.21492917601669276,0.29359957594013525,-0.08557822534132888,-0.06599932550885568,0.05669027691103223,-0.1706667711606194,0.013680998802437255,0.05840216229402487,0.01808258473453006,-0.010057922408076615,-0.05291108629112003,-0.004515265727264059,-0.004245265610793095,-0.020197109309610606,-0.010029821656882404,-0.02714352751367005,0.03915046851731064,-0.01176288724112537,-0.008392444995516175,-0.03138973802611214,-0.034438772697772624
Energy Export (kWh),0.12982570419534956,0.003944914955308954,0.001147871665937717,0.0013049985147912766,0.031018128224492802,-0.014434593258358613,-0.0076000721689579226,-0.019352561006495118,0.0162717937829315,0.009633563992321723,0.011885851176580964,0.01408073578640863,0.017002398751862824,0.02957929971161022,-0.01347788414808515,0.005354866979538048,0.017837411985576812,-0.017428015082748355,0.025519654821991422,-0.007590788742597415,-0.011774957210205758,-0.00046960469561833224,0.030655650107470706,-0.012946546211221821,0.031825507152045476,-6.890363717378112e-05,0.014425539704423,-0.002041781163050496,0.0026967130924708694,0.010625529735091496,0.0034995418734950837,-0.013442689581567371,-0.02181429868074164,-0.0064109886201953944,-0.022816857242825343,0.014293000999652628,-0.005351746979904898,0.029046575798169307,-0.02920831202363016,-0.0056193421397474075
Energy Export counter (kWh),-9.013622828164812e-05,0.006225773592693564,0.042957891873251136,0.0013765258452667403,-0.05555666298017139,-0.07437574633533753,-0.12752274183540246,0.27125120067032726,0.02062896063570375,-0.16505423244658138,0.10360854432799191,-0.023483735931148192,-0.010185914281159447,-0.055024990521640275,0.053452759129547806,0.21482889961622548,0.13475602902539052,-0.06867433996113498,0.12543550305234216,-0.13120044094696245,-0.02451839587723731,-0.0024609441913712397,-0.042100592763718137,0.05568890555882256,0.005471695645905897,-0.006856112067930728,0.07855422462838177,-0.019592375429209663,0.003294039490856343,0.03393885111401867,-0.002705844632144629,-0.07903823946529023,-0.0359231370079342,-0.016673482578941606,0.0526668261816577,0.029783497044837015,0.008501061940763999,0.03793943197612361,-0.08551649529579246,-0.03653093682091675
Energy Import (kWh),-0.025095531043611338,0.06509744288217628,0.0002512617808955425,-0.024595154545515144,0.007977493786853026,-0.015056207116635474,0.01775967419208936,-0.010623884205691122,-0.03890060458865123,-0.020491220210569563,-0.03277302001909236,-0.0992549252192819,0.039378475915898825,0.04580712868103459,-0.013765644170704916,-0.000703105729580128,0.012566317835705216,0.17623270900432247,0.06851622777399713,-0.048474455313345155,0.01618924016501372,0.0073681176342244165,-0.1280262662902052,0.07347715537806881,0.30057746607804653,-0.11566437158661728,-0.0424065193299048,0.1986213733368501,-0.003340035353583279,-0.12447797011675242,-0.09185851623130453,-0.0487276146340625,0.2733826281643501,0.728177930700099,0.17332572733803422,0.06451684501186647,0.08561584926475,0.06131018664242509,0.024112676042604322,-0.20371065964070467
Energy Import counter (kWh),0.0008878870219919173,-0.00360086251834429,0.005320999822874762,-0.00011316604992812894,0.0015835970302130586,-0.006594382586955883,-0.001241293620000389,0.0033236611379251903,0.011339334776998243,0.007552052299428338,0.015954369428824167,0.0018767212885072715,0.004035193200532583,-0.004051104688643198,0.006461617442784062,0.02494723867076859,0.009375190917406462,-0.023877192603685066,0.011149398283368361,-0.011281411830785168,-0.030435749999565803,-0.049666071041268404,-0.0026697581812035187,0.05613551033199242,-0.05575727382717188,0.6887656673636513,-0.010989519167152378,0.14983570143443947,0.03422169098130006,0.1673504975697867,0.6302797952654482,0.071287056266429,0.15419553250653617,0.15946442991239348,-0.006460274649256428,-0.055660451239005225,-0.022141652980603,-0.00768749462798627,-0.04470366512325817,-0.0021749044521837124
Lost Production (Time-based IEC B.2.2) (kWh),-0.0020416968262379855,0.012597902638242425,0.0022620874625869742,-0.2649040229651355,-0.0011716161131751469,0.0018445565813355617,-0.0002423967801592582,0.0005775026971691203,-0.0022501129052757344,-0.0024356290557934613,-0.017489806381677398,-0.15219613655967723,0.08725669031850138,0.01952937546512587,-0.010132528322591705,-0.006247893733368828,0.0037150984355165395,-0.03515808971655615,-0.008615370220836804,-0.0014028246362415842,0.004780379195946011,0.002502330943667294,0.004933146072791189,-0.00446287736773604,-0.0046025962981292995,0.003234233446221795,-0.0018062856036461516,-0.0062455359372023955,0.001049246641181543,0.00789855422078451,0.004352437636588307,0.0018453351153343827,-0.008447257090628102,-0.03320325853478513,-0.00611499973075022,-0.0035223889811099116,-0.004447997483495808,0.0010116305139278511,-0.009132677812482313,0.006553057469317419
Lost Production (Time-based IEC B.2.3) (kWh),-0.0020416968262379855,0.012597902638242425,0.0022620874625869742,-0.26490402296513543,-0.0011716161131751454,0.001844556581335558,-0.00024239678015924968,0.0005775026971691424,-0.0022501129052757574,-0.0024356290557934453,-0.01748980638167744,-0.15219613655967723,0.08725669031850142,0.01952937546512582,-0.010132528322591788,-0.006247893733369071,0.0037150984355165395,-0.035158089716556096,-0.008615370220836915,-0.0014028246362418617,0.0047803791959460384,0.0025023309436673496,0.004933146072791383,-0.004462877367735943,-0.004602596298129175,0.0032342334462221317,-0.0018062856036463078,-0.006245535937202576,0.0010492466411816583,0.007898554220784476,0.004352437636588671,0.001845335115334551,-0.008447257090628046,-0.03320325853478461,-0.006114999730749693,-0.003522388981110014,-0.004447997483495725,0.00101163051392765,-0.009132677812481529,0.006553057469317551
Lost Production (Time-based IEC B.2.4) (kWh),-0.0020416968262379855,0.012597902638242425,0.002262087462586976,-0.2649040229651355,-0.0011716161131751456,0.0018445565813355626,-0.00024239678015925122,0.0005775026971691297,-0.0022501129052757696,-0.0024356290557934527,-0.017489806381677426,-0.15219613655967726,0.0872566903185014,0.019529375465125814,-0.010132528322591719,-0.006247893733368842,0.0037150984355164562,-0.035158089716556096,-0.00861537022083686,-0.0014028246362415703,0.004780379195946094,0.002502330943667197,0.004933146072791439,-0.0044628773677358735,-0.004602596298129202,0.0032342334462219444,-0.0018062856036460961,-0.006245535937202534,0.0010492466411816358,0.007898554220784459,0.004352437636588479,0.001845335115334315,-0.008447257090627797,-0.03320325853478471,-0.0061149997307499565,-0.003522388981110014,-0.00444799748349628,0.0010116305139278997,-0.009132677812482271,0.006553057469317461
