,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
Cascading potential power (kW),0.13682858502485937,-0.005763602597423753,0.0012523822255222834,0.03760548627371782,0.018217492518603544,-0.041347689349640435,-0.01215865453042158,-0.014683747252740815,0.007508969948134515,-0.025494045141334718,-0.0020188592374636074,-0.0003065484359190985,-0.039957221115944026,0.038094696412987725,-0.017914548491964027,-0.012683076642688973,-0.019969294982477404,-0.0020113342103288967,-0.01766037043488464,-0.020272576785858865,0.015233217699258464,-0.005100532052904561,-0.0024217185922958684,0.020393699414344407,-0.010069540467240248,0.014802823883948879,0.011442341681903816,0.004299176504153082,-0.0012639463612412472,0.004968040639377863
Cascading potential power for performance (kW),0.13682858502485937,-0.0057636025974237585,0.001252382225522283,0.03760548627371783,0.018217492518603547,-0.0413476893496405,-0.012158654530421559,-0.014683747252740747,0.007508969948134586,-0.0254940451413347,-0.002018859237463544,-0.00030654843591918174,-0.03995722111594399,0.03809469641298784,-0.01791454849196404,-0.012683076642688945,-0.0199692949824775,-0.002011334210328619,-0.017660370434884914,-0.020272576785859003,0.015233217699258422,-0.005100532052904519,-0.002421718592295884,0.020393699414344213,-0.010069540467240373,0.014802823883948296,0.011442341681903612,0.004299176504153485,-0.0012639463612413027,0.004968040639378283
Potential power primary reference turbines (kW),0.13135145732288547,0.01640066440556025,-0.015342885050190398,-0.013149875307131288,-0.028948673129198563,-0.008310854847656403,-0.015033240418849137,-0.036331183655285,0.0076292833870470825,-0.027592044664657294,0.007057427500155904,0.0872466654697566,0.034769408426694216,-0.022140308197063717,-0.023339641334781818,0.04299635773970133,-0.0036131588757982933,0.015331591035901482,0.07060310635973527,-0.006418858360062618,0.06357063811854517,-0.017280851241243123,-0.012626423720495383,-0.0310674208156122,0.0509312361714875,-0.000974127877239217,0.0893732616804042,0.06995985818031436,0.027884201598470104,0.009954401220823111
Potential power secondary reference turbines (kW),0.10547736752255327,0.02537682361428013,-0.01662695106793576,-0.03605281125486471,-0.10642636491109077,-0.016382488015493135,0.0009661338329528934,-0.030485052219703143,-0.0064326007107898325,-0.018341906629549053,0.005835097269043474,0.0927711640353455,0.04857486695871343,-0.10651098828093405,3.247465795480628e-05,0.014795975913810877,0.019889203603481467,-0.006688460090024731,0.1641821610840222,0.08353332649792074,0.009001296061330412,0.002761831638590166,0.013980425023653889,-0.047190153528725146,0.03649200136966676,-0.004384221705967306,-0.0020965992428449015,-0.06326527495815483,-0.11346890801891711,0.01867365822184074
Turbine Power setpoint (kW),0.1314753563053858,0.013462968442044757,-0.015526772609092318,-0.007980907805964409,-0.021372688172660317,-0.00028799891973370605,-0.012463307444083825,-0.0456060014254873,0.030920271194366092,-0.02074026199243128,0.008498821429623993,0.0808704585194821,0.022019214773684386,0.012578887659572834,-0.023382463901827005,0.0758343610033741,-0.023784653445620516,0.024596124798469655,0.06203038700768816,-0.027149020506263742,0.08754700383187058,-0.019759911539783265,-0.015980609067744546,-0.021320736790179776,0.036781598493776116,-0.0034360308023957203,0.10013069699669741,0.10371044788003791,0.05138957124641604,0.0005898027897737416
Potential power MPC (kW),0.1366636472785791,0.0013179506021511272,0.0013399698076242157,0.03930127918522422,0.020515823713812182,-0.045625165857514575,-0.008463735153513164,-0.012085353639994207,0.006119720066544741,-0.017514999072261096,-0.0010191486014853345,0.0005875714325924172,-0.039041835172303224,0.03623589332805357,-0.01576479952716491,-0.01077024778276667,-0.01782442452460473,-0.00266666710342172,-0.016968119717570836,-0.01739789363756,0.013758716039056339,-0.005033792022887326,-0.002861286258100882,0.021451484137605586,-0.007529139037196615,0.01718736628322101,0.010297139937843723,0.0024910280565518493,0.008214462196550299,0.00013169782005595983
Available Capacity for Production (kW),-0.0005110503893701902,-0.0001765430275632372,-0.0007862420188399175,0.0006684725455126081,0.004384474959972643,0.00213552152160609,0.001411797450184257,0.0035669507997518595,-0.0014490721088744856,-6.826673066186219e-05,-0.003686124179503366,0.007020030278169958,0.0031956578881467846,-0.0050973201679859175,0.004486206662268685,0.00964146251298131,0.007828441588494347,0.007318542515982707,-0.016851055641873038,0.03802018926739169,-0.016779921288298225,-0.6746287262619821,0.7333071972383748,0.025597733973027018,-0.03436423601860628,-0.03214145802108748,-0.020129733779124272,0.030285642659429873,0.017998732872435377,-0.0022169573448326714
Power factor (cosphi),-0.07075608297764613,0.10987764223116538,-0.10616160187638565,-0.030924953484391716,-0.04207357116697445,0.054743526508045134,-0.016581468307203247,-0.052884548681242566,0.03924703448367269,-0.05944615635548135,0.011100010039176104,0.20610447619369615,0.0634053309045834,0.004075980516714231,0.04554460379061923,0.2608541086083039,-0.13005281095958898,0.07591609627043361,0.012943721524078943,-0.06345622747578533,0.04895205521720194,-0.018333296167430284,-0.021008770818892335,-0.04064180767818646,0.08310183242812977,-0.09184046099851409,0.1622146938365354,0.15819897630324553,0.09587780589786979,-0.01013959119692424
"Power factor (cosphi), Max",-0.05294152810323723,0.12833612612918374,-0.0840767869190798,-0.03737746715261615,-0.02975684954199339,0.09647681251444278,-0.02768977788806521,-0.029435572729067785,0.003142095433266391,-0.08683933122391052,0.006092353492919648,0.1292075719002716,0.028205276141695927,0.08295454825594131,0.0586823979882968,0.25741700260189165,-0.21027078411097747,0.07079885975572998,-0.2048362138665165,-0.11851983177551265,0.03071724646098821,0.015311443653379789,-0.00830150943674116,0.06072884933790634,-0.12478380662992555,-0.15615171987115817,-0.08044666887921195,0.16288541326729877,-0.05862634681671647,-0.02255830484635686
"Power factor (cosphi), Min",-0.06826789934799671,0.021229091450070563,-0.09121412312118715,0.016296631260070485,-0.01775099497946074,-0.053808684759355824,0.008837592533766023,-0.05235049087562692,0.060484073062652514,0.006776898514184577,0.01740002734851067,0.21264140224332778,0.0696034978754244,-0.081653474384401,0.01065760569328971,0.18454125356731743,0.003715857927652312,0.06053749179810032,0.2697387686225509,0.016627247724385393,0.07281058757501332,-0.04614118491380835,-0.026857912149334657,-0.15382934887183003,0.28069768759345837,-0.01665095747860834,0.3906950771286817,0.14237186176553387,0.22343828379967734,0.005755040759172367
