,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
"Power, Standard deviation (kW)",0.11171995706767276,0.08707731537102281,0.00697816637159241,-0.04245359301259861,-0.023290818038208583,0.12972963067684545,-0.02479376721787656,0.026682529421672232,0.04754689788419286,-0.047763109446453476,0.00890967703274919,-0.061213301852170485,0.004110357554687638,-0.02774065000465356,0.009943290635797103,0.01690541351461372,0.008610468270649208,-0.11590656347986458,-0.0966187326409842,0.011538381304357859,0.037002976585352815,0.007066279632542957,-0.10537994574776358,0.003333322139405126,0.01154907982062725,0.06848698429432111,-0.07528139860141289,-0.03827400677757782,0.055348739578621686
"Power, Minimum (kW)",0.12520650422315682,-0.03614523823983011,-0.016954801336710505,0.07123438610760556,0.011028579278824018,-0.11148651615508985,-0.0010532235331334142,0.0309202612765946,-0.027480109082046136,0.03041186618699184,0.0005115566863510383,-0.01609660607231783,0.025265115222160718,0.0239219922193514,-0.047385979659071174,0.0018465292046877524,-0.008108081928775879,0.050105383435080975,0.03371550413915904,-0.007646125445715607,-0.021837629953722376,-0.003943271164821133,0.056708365290725656,0.001557032233119926,-0.039732183577421296,-0.004012738483970185,0.04104315963871867,0.03060198934914421,-0.031034883550502768
"Power, Maximum (kW)",0.1347776189229223,0.03299537882164692,0.0014094889541148372,0.005210911037044998,-0.010414429059944339,0.032766094757880115,-0.01740035642047385,0.039748469658226794,0.012630422609151943,-0.009127323230948423,0.004342608073603926,-0.03631757785282543,0.013290957995198588,-0.0036753142790661893,-0.01872761477966703,0.010157014600534364,0.004087648820844392,-0.04094610625502318,-0.043264569881689585,-0.004201000469169108,0.01289158576040586,0.0027791067996396634,-0.03285121279566348,0.001211436404874755,-0.01259990237741157,0.046660242856341155,-0.014810479952045222,-5.702934590529063e-05,0.014069705247589971
Potential power learned PC (kW),0.13345664887842634,0.007720099646953245,-0.013243850682112132,0.05041443359537472,9.514929734068855e-05,-0.06202836615141655,-0.011648343905645002,0.031166679610774514,-0.002703953213066992,-0.0189648865140419,0.013413269207099628,-0.06145604204471197,-0.0069960360553986516,-0.008625569439636561,-0.042480286151042136,0.017678031029747104,-0.006109246317997419,-0.020070101699520074,-0.015529892517020194,-0.007527153330218916,0.0029622076383520463,-0.00044179377263510455,0.0025820781219601354,0.005483469542019573,-0.024108690982385272,0.03296967323246856,-0.001081504660758209,-0.01667986405840141,-0.013383588179444905
Potential power reference turbines (kW),0.1221224268332457,0.02607663289290906,-0.01496702505094663,-0.017911914600715676,-0.04245892264275056,0.05802090977171487,-0.01123856376057071,0.005437373816429902,-0.0766449717848011,0.12168187327199868,-0.02066751455302716,0.07456041046431072,-0.006908083153627858,-0.02377679496240155,0.06028774061569023,-0.01649184911793805,0.008233186434313589,0.10733072309453517,-0.001923687277338229,-0.0022805865796720615,0.015236103319321057,0.01814782571456114,-0.01995227859001953,-0.00022440299236281547,0.08229319989167738,-0.10418865624728563,-0.06056793638976932,-0.040624318208270664,0.17094350698217015
Cascading potential power (kW),0.13345664887842634,0.007720099646953219,-0.013243850682112148,0.05041443359537467,9.514929734068736e-05,-0.06202836615141659,-0.01164834390564498,0.031166679610774524,-0.0027039532130669697,-0.0189648865140419,0.01341326920709964,-0.061456042044711896,-0.006996036055398648,-0.008625569439636587,-0.04248028615104206,0.017678031029747094,-0.006109246317997363,-0.020070101699520504,-0.015529892517019861,-0.0075271533302190136,0.0029622076383518103,-0.00044179377263535435,0.002582078121960721,0.005483469542019656,-0.024108690982385248,0.03296967323246866,-0.0010815046607579315,-0.01667986405840091,-0.013383588179444905
Cascading potential power for performance (kW),0.13345664887842634,0.007720099646953228,-0.013243850682112122,0.050414433595374675,9.514929734070184e-05,-0.0620283661514165,-0.011648343905644997,0.031166679610774496,-0.002703953213067026,-0.018964886514041854,0.013413269207099622,-0.06145604204471182,-0.006996036055398595,-0.00862556943963652,-0.04248028615104208,0.017678031029746966,-0.00610924631799753,-0.020070101699520226,-0.015529892517019916,-0.007527153330219,0.002962207638351824,-0.0004417937726352607,0.0025820781219605855,0.005483469542019781,-0.024108690982385383,0.03296967323246876,-0.001081504660757876,-0.016679864058400606,-0.01338358817944521
Potential power primary reference turbines (kW),0.12695830302225308,0.028152555843843047,-0.01727720498215027,-0.01692844071155051,0.003109065084572401,0.045214857805227854,-0.015563058347789926,0.016204254543089054,-0.06423682078553479,0.11945456177068603,-0.019821038647111627,0.05786359619001296,0.0047150060877362765,-0.024120626457714695,0.02953448480281058,-0.0320345753418888,0.008915431945127034,0.11144954928762685,-0.004567539011673949,-0.008199303266560848,0.003657223767791956,0.015386898136975288,0.021652753444058967,0.003843746358273309,0.03973855600502692,-0.07216376998978848,-0.037874772081024105,-0.031224957816913368,0.13103704115100015
Potential power secondary reference turbines (kW),0.10816805246471232,0.022285507558021115,-0.012176774145026785,-0.017257796245639532,-0.07241468819950996,0.06337010774208042,-0.007030966994911455,-0.002278456395635731,-0.07971157844968974,0.11258596212829293,-0.019115891752880056,0.07990948554008057,-0.014843497488756534,-0.021822407890972628,0.07767440138371634,-0.003155795122521259,0.007543183763651927,0.09476795648168171,-9.759712209201471e-05,0.0015981977483538622,0.0226798053235131,0.019216660853158797,-0.0491350091899086,-0.004161639872456633,0.10688225763499243,-0.11765421148791666,-0.07396929949900426,-0.045608930814933474,0.18548519699071334
Turbine Power setpoint (kW),0.12780288846488394,0.014521874250173428,-0.00462526117136672,-0.015064539893120472,0.002834912073242059,0.050917541798386236,-0.011752920546084736,0.058749326179239426,-0.03830857584630164,0.10823939439598364,-0.017039804021110685,0.03732784942307785,0.008732450135314892,-0.02104038214835609,0.011746541730638781,-0.030180546243978652,0.008136225825301187,0.11005960991702818,-0.00726690447177159,-0.028590743371445265,0.007226579739597623,0.012262135955073254,0.04539854913137957,0.004601195031834281,0.014509740809764237,-0.043663250331279574,-0.016653723526851034,0.00890974748296149,0.151888120700372
