GeneratorSpeed,Power,PredictedPower
1765.5399,1499.0543,1262.1736839006733
1111.1381,244.61292,232.6496338696498
998.8462,147.77597,115.24975986422112
1140.7285,267.71857,268.12139948218083
975.6199,105.45565,102.60405847222057
1449.0303,594.70215,624.0180555090607
965.2618,94.40825,99.05073225447882
1652.2379,1057.5938,961.8518516355026
1055.616,198.54393,167.21785473819756
1657.3907,913.9366,974.4803931444627
1163.1381,285.8913,294.121840925033
1526.7736,716.0495,728.1057570061689
963.9002,92.91967,98.68598160224553
1564.0924,793.676,784.6391306071018
1386.0796,535.3252,542.8643135868375
1751.9832,1198.8696,1227.702664464888
1005.1829,127.422264,119.7215313670888
1714.1865,1020.368,1125.2890822990705
1034.7971,177.14265,145.4308676711172
1532.6067,708.5576,736.4773145737837
1385.0144,574.7512,541.51596414299
1375.2488,507.19385,529.2227785682601
1788.9237,1508.8705,1316.2622093777163
1116.4403,241.49933,239.06267878010186
1748.8234,1367.2555,1219.424138030868
1075.1697,213.93631,189.50298143926352
1274.6558,389.15247,412.9924353538368
1142.4423,264.47736,270.1418041439605
1662.3741,925.5735,986.9106289864217
1455.8687,613.6868,632.9247663146654
1788.3136,1307.2185,1314.9570328076202
1091.0078,229.20816,208.32355151771213
1561.9984,777.0591,781.2496690339881
1202.4302,327.3128,337.38448461193525
1052.4218,181.62073,163.72300827894418
1390.6891,559.0626,548.714274148938
1386.9116,511.27774,543.9184152298774
1733.6614,1136.4165,1178.7714186210828
1660.9873,979.07196,983.4306800229064
1526.5745,743.61774,727.8224243302658
1036.9044,173.7885,147.5187889136879
1575.7866,778.9088,804.1525201093857
1700.9885,1097.5474,1088.9901366386937
963.7327,67.71499,98.6427851219446
973.2518,98.70049,101.67224269009671
996.80646,146.71368,113.89816903154622
1390.6794,516.8052,548.7019389837063
1564.0464,793.25555,784.5643457588834
1121.035,245.21152,244.60738911388427
1005.88275,160.6891,120.24002674918268
1008.5713,153.80545,122.2759983448882
1500.4733,656.5035,691.774657074008
1026.5566,177.03342,137.56396537699516
1423.9132,548.32794,591.4100370390867
1174.0319,293.0161,306.40898336518137
1145.4192,270.05118,273.6395555809578
1710.2834,1015.1724,1114.5296264275325
1299.3074,417.61163,439.6096127811317
1244.5812,373.4724,381.51585832078007
1424.3044,562.03705,591.9164936707749
1141.1439,272.8267,268.6115583813228
1705.2695,1133.4413,1100.7322124949442
966.51953,122.47903,99.40909989872875
964.046,87.42806,98.72388098871136
963.0914,88.722404,98.48080173905282
1150.5125,274.07993,279.58783267953567
1368.2935,483.6391,520.5509633044061
1038.3927,182.45993,149.01096748119357
1154.2357,274.8429,283.9057946107649
1576.0767,781.8299,804.6498330472659
1704.2771,1137.4666,1098.006442207277
1695.0121,1153.6287,1072.6861972731556
1026.1932,157.18698,137.228554049521
1745.6271,1248.8163,1210.9723760525862
1272.174,377.0953,410.36380290124856
1649.7858,1022.5496,955.9252250038284
1071.3435,208.75114,185.04085115966768
1186.2504,303.75934,319.91300640577725
1450.4652,609.4543,625.8858252494025
1288.4675,407.4388,427.78052065901227
1222.859,332.75473,358.9286805465607
1240.5216,352.4208,377.30175921029485
1460.3073,612.9698,638.7140438132109
1185.8141,301.14075,319.4356588646408
1544.6472,728.33997,754.2433375886926
1025.3594,170.39304,136.46281433216654
1435.9768,575.95215,607.0505500124876
1509.8191,680.81915,704.4642756424291
1497.4934,717.4207,687.7676321739808
1668.0552,984.7882,1001.3274039828646
1187.1581,302.14807,320.90499209743103
1614.7881,856.80365,877.6018248972471
1681.4016,980.7195,1036.1216733779474
1316.3837,433.14172,458.7121605355303
1152.8984,271.1461,282.3578767435192
1752.9268,1384.8578,1230.1589278621504
1377.2576,494.85754,531.7408678996109
1165.3063,285.79636,296.5862576802185
1518.8677,689.2485,716.9663676517252
1141.1813,267.5597,268.65567541217337
1435.4603,574.3894,606.3800493971879
1641.9015,895.03345,937.2451280438304
1688.9908,1067.6224,1056.398206679804
963.8574,83.14647,98.67490897698917
1337.8635,450.6982,483.6253755976196
1538.5743,775.6388,745.1948860079726
1087.9574,218.05089,204.66458885084364
1005.9447,136.32745,120.28615397333112
1111.7344,238.90143,233.37138660675726
1441.3544,584.9945,614.0355172525556
1027.3636,148.47444,138.3124130294699
1417.4637,556.3395,583.069188962455
1421.4503,546.4088,588.2228456168081
1528.5857,731.5684,730.6916184339572
1364.2261,504.01315,515.5157503009858
1271.5352,398.17078,409.6884411444769
1056.0459,194.19727,167.6918465273033
1009.6725,160.73547,123.12981324639077
1624.6316,862.79736,898.4171498098654
1696.3021,1195.2965,1076.1950577005673
1486.2247,624.5816,672.7486273600116
1271.9293,382.76715,410.1050393597639
1426.2836,562.2761,594.4796526324084
