PitchAngle,Power,PredictedPower
5.907549,2051.4802,2023.2632878276781
3.1225934,1833.8796,1937.383705001599
0.17747383,1548.6089,1610.5604641200616
2.1039646,1915.3016,1850.0080388767249
3.0483322,1943.4188,1932.9976043271768
3.7750137,1998.3307,1967.1620885672094
0.55987704,1664.3269,1643.5243752252318
0.17449738,1702.6516,1610.3728183282055
3.2462919,1818.7742,1944.1508563752113
2.0258796,1863.4822,1840.6721075206062
0.0,1493.7766,1601.4179601506496
5.551541,2054.0823,2015.7974763581442
6.2465663,1906.5703,2029.4839325454845
1.6714464,1855.1046,1794.2531916599241
0.897367,1789.9895,1684.441339102685
5.665131,2055.0042,2018.2637684999381
0.42899352,1836.9255,1630.3759605121013
0.47774857,1573.384,1635.0650851687121
1.5237745,1706.5839,1773.4292954305733
1.1453938,1871.975,1718.826015961958
7.0789223,2054.6917,2037.981270783969
3.8202477,1978.2943,1968.7975384303743
4.890959,2048.7864,2000.1673715038278
6.3576245,2007.0929,2031.266341302632
7.3872857,1975.9794,2037.1936331165653
2.594681,1906.485,1899.9310400890006
0.5234291,1731.5938,1639.6860802391086
5.5866017,2010.3282,2016.5663913531478
5.6986775,2019.433,2018.9779803632575
7.7950068,2036.6943,2031.6840717626787
0.83496004,1948.0131,1676.2513130146167
0.094498746,1357.2576,1605.7632394740824
1.827956,1763.0781,1815.48753743179
1.3073548,1450.5571,1742.1796065146973
3.2875755,1928.5546,1946.2706508128595
5.333993,1937.2731,2010.883686423726
0.499959,1574.633,1637.2849876247476
0.0,1426.7091,1601.4179601506496
3.086529,1568.5502,1935.2854456875725
1.1238391,1735.376,1715.752318150305
4.033356,1933.7208,1976.0198331618478
0.47049287,1900.8231,1634.3511041816018
0.0574997,1416.4718,1603.9183727045845
5.508488,1971.7286,2014.8442555584668
0.16899404,1518.1339,1610.0288880472585
1.2676796,1789.3044,1736.4312928675827
6.3795924,2041.9209,2031.6009627605983
4.6489697,1974.6903,1993.8960663896462
7.828074,2050.0466,2030.9978396800861
6.975872,1792.5494,2037.676640709594
0.0,1507.7354,1601.4179601506496
5.7666674,2002.1412,2020.4044631653373
0.029999532,1592.349,1602.6665365365432
6.030719,1975.4773,2025.6421126769224
2.419661,1912.0386,1883.8935534255509
7.09115,2066.249,2037.999729184234
0.3828356,1559.4572,1626.177645209636
3.9368906,1885.0706,1972.8414867918086
3.927012,1905.0573,1972.507974856159
1.2440213,1590.7516,1733.0089814573246
7.3491883,2067.373,2037.4392388353328
2.992469,1986.1031,1929.5256518198946
0.903118,1587.6508,1685.2074878170215
0.0005,1454.8729,1601.4377651645464
0.6651203,1643.1339,1655.310530801179
3.0879648,2021.278,1935.3701168755658
2.6032677,1979.251,1900.66805822395
6.692233,2045.9442,2035.597374500357
0.50099707,1884.4944,1637.3899950744756
0.08899955,1371.9314,1605.477440183494
1.3158491,1928.3385,1743.4111747376544
6.5086246,2039.0004,2033.4337271925717
3.8856492,1944.5083,1971.0940790985292
0.419491,1776.0414,1629.492175542339
5.388647,2004.0853,2012.1405078045107
2.3478482,1771.3297,1876.745022473818
5.2319016,2001.8931,2008.4973680348187
3.620211,1952.9857,1961.2335629689908
5.0411906,1940.7427,2003.906907437105
0.10749619,1591.5348,1606.4547410495877
6.0931053,2045.94,2026.7984696405535
0.4789912,1622.9946,1635.187921120229
3.980897,1954.7997,1974.3085839096948
1.9358287,1923.0325,1829.4710861567016
5.6382318,1998.2992,2017.6863075672893
3.1168485,1866.7623,1937.0534036870147
2.3497646,1808.1606,1876.9401097159982
0.94783884,1733.798,1691.2253829690844
1.0734216,1768.9902,1708.6124173842359
6.5038576,2041.3174,2033.3702843814808
1.3055228,1655.5455,1741.9140153310861
6.097535,2041.9614,2026.8792398448916
0.10949911,1448.1146,1606.5632985374973
2.1076603,1855.5198,1850.440893292093
7.9002457,2055.2517,2029.3734783745876
0.56940514,1531.4617,1644.5491971837985
3.9261897,2015.329,1972.4801421869818
1.0243119,1745.6364,1701.7374364504644
6.9132566,2046.5514,2037.3670150407356
1.6152859,1783.0243,1786.4081287401273
0.13849457,1594.3423,1608.19426398857
4.305351,1929.6735,1984.3442861674087
4.166547,1940.9038,1980.2006082732476
5.793005,2033.3726,2020.9491716606558
7.8705516,2054.811,2030.0628066203428
6.160386,1995.4128,2028.005140827283
1.2564094,1784.0962,1734.8003430009594
1.6403838,1884.9911,1789.9267399660557
0.21475968,1552.0326,1613.0075680729915
1.5434219,1865.6906,1776.2334089348722
0.29246593,1589.5533,1618.6707663691604
5.2998595,1950.112,2010.091396476923
2.6472788,1891.8331,1904.3740353934552
3.1649573,2044.9119,1939.7743711216713
4.3955593,2045.6129,1986.939452111129
6.815523,2016.5044,2036.7084804951105
5.2996573,1997.3094,2010.0866863964793
0.7395009,1441.7437,1664.2152413478946
3.9270203,2029.3556,1972.508255733229
0.56145996,1827.099,1643.6940241383306
5.5741897,1995.9233,2016.2949499107572
4.158546,2019.9558,1979.9555337138718
6.0201797,1914.56,2025.443397570504
3.2070043,1808.4899,1942.070926451608
0.50290823,1582.7507,1637.5836116015196
