Date and time,Wind speed (m/s),Power (kW),Rotor speed (RPM),Blade angle (pitch position) A (°),Gear oil temperature (°C)
2019-10-11 22:50:00,6.39417543411255,619.108061218262,12.314007461071,0.0,57.7949996948242
2019-10-11 23:00:00,6.24456181526184,600.364501953125,12.1466511189938,0.0,57.0225002288818
2019-10-11 23:10:00,6.74918336868286,634.736885070801,12.3906449228525,0.0,56.8324996948242
2019-10-11 23:20:00,6.74452424049377,574.673806762695,12.0203819721937,0.0,56.3050003051758
2019-10-11 23:30:00,5.97831978797913,416.974070739746,10.8699347376823,0.0,56.6624994277954
2019-10-11 23:40:00,7.06615664958954,749.060314941406,12.9944354742765,0.0,57.7349998474121
2019-10-11 23:50:00,6.71534397602081,637.364004516602,12.3568096160889,0.0,55.5199995040894
2019-11-11 00:00:00,5.39599567651749,356.481549072266,10.4117715060711,0.0,57.6475004196167
2019-11-11 00:10:00,5.52942289113998,372.438485717774,10.5148286819458,0.0,57.4375001907349
2019-11-11 00:20:00,6.74539659023285,551.478446960449,11.8285812288523,0.0,57.9125003814697
2019-11-11 00:30:00,6.45591442584991,542.459042358399,11.7779113948345,0.0,59.035000038147
2019-11-11 00:40:00,6.59663672447205,546.560842895508,11.8344494998455,0.0,56.6825004577637
2019-11-11 00:50:00,6.6888738155365,574.773056030274,12.0037474036217,0.0,57.5899997711182
2019-11-11 01:00:00,6.20277760028839,440.889750671387,11.1026345640421,0.0,58.539999961853
2019-11-11 01:10:00,6.5438449382782,539.41468963623,11.6843610405922,0.0,58.935000038147
2019-11-11 01:20:00,7.31500554084778,791.994302368164,13.2711078375578,0.0,55.9850004196167
2019-11-11 01:30:00,7.49179480075836,797.515289306641,13.2593903392553,0.0,54.364999961853
2019-11-11 01:40:00,6.93891065120697,701.357620239258,12.8054254800081,0.0,56.8
2019-11-11 01:50:00,7.41698784828186,839.467028808594,13.5284773260355,0.0,53.5249996185303
2019-11-11 02:00:00,7.4804160118103,869.469216918945,13.6496157646179,0.0,54.9274995803833
2019-11-11 02:10:00,7.20168149471283,708.68623046875,12.8137154281139,0.0,54.0000001907349
2019-11-11 02:20:00,5.92620902312429,458.94673879523,11.2222932984954,0.0,54.2184207313939
2019-11-11 02:30:00,6.04430567590814,436.373761628804,11.0318000849925,0.0,55.6947370830335
2019-11-11 02:40:00,6.66552231311798,543.914004516602,11.8477765917778,0.0,56.6274991989136
2019-11-11 02:50:00,6.50339314672682,591.818588256836,12.1339968840281,0.0,57.65555551317
2019-11-11 03:00:00,6.08319790363312,459.939533996582,11.1539692729711,0.0,58.1424991607666
2019-11-11 03:10:00,5.89187428951263,428.933768463135,10.9349654316902,0.0,56.3800003051758
2019-11-11 03:20:00,7.3007123708725,822.534788513184,13.3306700438261,0.0,57.1549995422363
2019-11-11 03:30:00,7.9023787021637,1024.02373046875,13.8755708187819,0.005999996115463,55.8449998855591
2019-11-11 03:40:00,7.28437738418579,820.224087524414,13.1074466854334,0.0199998613925914,54.6775005340576
2019-11-11 03:50:00,7.20053057670593,828.809169006348,13.1874945759773,0.0339993179167664,55.7749996185303
2019-11-11 04:00:00,6.38231410980225,726.037818908691,12.8688792139292,0.0,56.1549999237061
2019-11-11 04:10:00,6.84158744812012,728.746002197266,12.8816769719124,0.0,55.0799997329712
2019-11-11 04:20:00,7.49240732192993,838.74303894043,13.3956820070744,0.0,55.0950000762939
2019-11-11 04:30:00,6.70687942504883,621.477490234375,12.2867604196072,0.0,54.8
2019-11-11 04:40:00,7.82298404292057,917.870370965255,13.6039325124339,0.101036598417863,56.0421052230032
2019-11-11 04:50:00,6.46940939426422,590.216687011719,12.1022344529629,0.0,54.182500076294
2019-11-11 05:00:00,7.79607124328613,927.947171020507,13.8657607734203,0.0,55.9824998855591
2019-11-11 05:10:00,8.13363037109375,1108.92760620117,14.2799345701933,0.176420646116298,53.5474998474121
2019-11-11 05:20:00,8.40928992103128,1337.83795525046,14.7232209058369,0.0864701782256816,52.5617644366096
2019-11-11 05:30:00,9.40317540168762,1556.66732177734,15.033676430583,0.355970477391736,52.1724998474121
2019-11-11 05:40:00,9.71818106174469,1731.57564086914,15.0175459384918,1.14335331146407,51.6250001907349
2019-11-11 05:50:00,10.7638701890644,1943.77054636102,15.226476976746,3.04417620529375,51.6736843711452
2019-11-11 06:00:00,10.7044871648153,2021.54665527344,15.1607506275177,3.4769910741793,51.3533348083496
2019-11-11 06:10:00,11.2257441470498,1980.29119551809,15.1704814402681,4.23600806406728,51.3210543582314
2019-11-11 06:20:00,11.9606239318848,1952.04927368164,15.227573543787,5.48359951840172,51.1299997329712
2019-11-11 06:30:00,10.7636024236679,1832.16484985352,15.1877036243677,3.00462819331943,50.9349996566772
2019-11-11 06:40:00,8.87351295948028,1459.58185119629,14.7740583568811,0.230479672146828,50.1999994277954
2019-11-11 06:50:00,7.98667097091675,1013.38988952637,13.9824813008308,0.0,48.7224996566772
2019-11-11 07:00:00,7.54523622989655,949.524862670899,13.8307650536299,0.0,47.7799999237061
